Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
1475,509 m,7 m,0:00:18,1.3 km/h,349.7° true,6/16/2023 15:00,N36° 31.892' E32° 18.892'
1476,506 m,14 m,0:00:19,2.7 km/h,181.2° true,6/16/2023 15:01,N36° 31.895' E32° 18.891'
1477,502 m,10 m,0:00:09,3.9 km/h,143.7° true,6/16/2023 15:01,N36° 31.888' E32° 18.891'
1478,499 m,1 m,0:00:01,1.9 km/h,251.5° true,6/16/2023 15:01,N36° 31.883' E32° 18.894'
1479,499 m,8 m,0:00:14,2.0 km/h,211.5° true,6/16/2023 15:01,N36° 31.883' E32° 18.894'
1480,496 m,7 m,0:00:13,2.0 km/h,36.7° true,6/16/2023 15:01,N36° 31.880' E32° 18.891'
1481,491 m,6 m,0:00:13,1.8 km/h,357.9° true,6/16/2023 15:02,N36° 31.883' E32° 18.894'
1482,486 m,12 m,0:00:19,2.2 km/h,346.6° true,6/16/2023 15:02,N36° 31.886' E32° 18.894'
1483,478 m,11 m,0:00:17,2.2 km/h,57.2° true,6/16/2023 15:02,N36° 31.892' E32° 18.892'
1484,465 m,6 m,0:00:14,1.6 km/h,10.4° true,6/16/2023 15:02,N36° 31.895' E32° 18.898'
1485,459 m,9 m,0:00:08,4.1 km/h,25.7° true,6/16/2023 15:03,N36° 31.899' E32° 18.899'
1486,456 m,20 m,0:00:21,3.4 km/h,26.3° true,6/16/2023 15:03,N36° 31.903' E32° 18.902'
1487,454 m,20 m,0:00:19,3.8 km/h,7.5° true,6/16/2023 15:03,N36° 31.913' E32° 18.908'
1488,450 m,8 m,0:00:16,1.8 km/h,52.7° true,6/16/2023 15:03,N36° 31.923' E32° 18.909'
1489,447 m,4 m,0:00:16,0.9 km/h,332.9° true,6/16/2023 15:04,N36° 31.926' E32° 18.914'
1490,449 m,2 m,0:00:18,0.4 km/h,315.5° true,6/16/2023 15:04,N36° 31.928' E32° 18.912'
1491,450 m,1 m,0:00:22,0.2 km/h,76.9° true,6/16/2023 15:04,N36° 31.929' E32° 18.911'
1492,450 m,21 m,0:00:23,3.2 km/h,122.4° true,6/16/2023 15:05,N36° 31.929' E32° 18.912'
1493,450 m,18 m,0:00:21,3.0 km/h,297.3° true,6/16/2023 15:05,N36° 31.923' E32° 18.924'
1494,452 m,9 m,0:00:23,1.4 km/h,327.7° true,6/16/2023 15:05,N36° 31.927' E32° 18.913'
1495,453 m,7 m,0:00:26,1.0 km/h,284.6° true,6/16/2023 15:06,N36° 31.931' E32° 18.910'
1496,453 m,18 m,0:00:20,3.2 km/h,125.0° true,6/16/2023 15:06,N36° 31.932' E32° 18.906'
1497,455 m,15 m,0:00:24,2.3 km/h,130.8° true,6/16/2023 15:06,N36° 31.927' E32° 18.915'
1498,454 m,1 m,0:00:22,0.2 km/h,15.9° true,6/16/2023 15:07,N36° 31.921' E32° 18.923'
1499,453 m,10 m,0:00:23,1.6 km/h,308.8° true,6/16/2023 15:07,N36° 31.922' E32° 18.923'
1500,453 m,4 m,0:00:21,0.7 km/h,153.6° true,6/16/2023 15:08,N36° 31.925' E32° 18.918'
1501,451 m,7 m,0:00:21,1.2 km/h,132.4° true,6/16/2023 15:08,N36° 31.924' E32° 18.919'
1502,449 m,8 m,0:00:24,1.1 km/h,307.6° true,6/16/2023 15:08,N36° 31.921' E32° 18.922'
1503,450 m,5 m,0:00:26,0.8 km/h,245.3° true,6/16/2023 15:09,N36° 31.923' E32° 18.918'
1504,449 m,8 m,0:00:23,1.3 km/h,119.1° true,6/16/2023 15:09,N36° 31.922' E32° 18.915'
1505,450 m,4 m,0:00:26,0.5 km/h,79.7° true,6/16/2023 15:10,N36° 31.920' E32° 18.920'
1506,448 m,6 m,0:00:32,0.6 km/h,117.1° true,6/16/2023 15:10,N36° 31.920' E32° 18.922'
1507,445 m,1 m,0:00:24,0.2 km/h,84.3° true,6/16/2023 15:11,N36° 31.919' E32° 18.926'
1508,443 m,7 m,0:00:31,0.8 km/h,132.3° true,6/16/2023 15:11,N36° 31.919' E32° 18.927'
1509,440 m,2 m,0:00:18,0.4 km/h,188.1° true,6/16/2023 15:11,N36° 31.917' E32° 18.930'
1510,439 m,2 m,0:00:12,0.6 km/h,178.9° true,6/16/2023 15:12,N36° 31.916' E32° 18.930'
1511,439 m,5 m,0:00:18,1.0 km/h,334.9° true,6/16/2023 15:12,N36° 31.915' E32° 18.930'
1512,438 m,1 m,0:00:15,0.2 km/h,270.5° true,6/16/2023 15:12,N36° 31.917' E32° 18.928'
1513,438 m,6 m,0:00:18,1.3 km/h,140.6° true,6/16/2023 15:12,N36° 31.917' E32° 18.928'
1514,437 m,6 m,0:00:18,1.2 km/h,117.9° true,6/16/2023 15:13,N36° 31.915' E32° 18.930'
1515,438 m,3 m,0:00:19,0.6 km/h,110.1° true,6/16/2023 15:13,N36° 31.913' E32° 18.934'
1516,438 m,1 m,0:00:10,0.2 km/h,246.6° true,6/16/2023 15:13,N36° 31.912' E32° 18.936'
1517,438 m,1 m,0:00:13,0.4 km/h,157.5° true,6/16/2023 15:14,N36° 31.912' E32° 18.935'
1518,438 m,4 m,0:00:11,1.2 km/h,310.4° true,6/16/2023 15:14,N36° 31.912' E32° 18.936'
1519,438 m,3 m,0:00:03,3.5 km/h,324.3° true,6/16/2023 15:14,N36° 31.913' E32° 18.934'
1520,438 m,1 m,0:00:11,0.2 km/h,324.8° true,6/16/2023 15:14,N36° 31.914' E32° 18.933'
1521,439 m,6 m,0:00:11,2.0 km/h,133.4° true,6/16/2023 15:14,N36° 31.914' E32° 18.933'
