Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
154;437 м;22 м;0:00:02;39 км/ч;132.2° истина;20.03.2026 13:54;N55.19004° E59.61067°;
155;437 м;127 м;0:00:11;42 км/ч;111.3° истина;20.03.2026 13:54;N55.18991° E59.61092°;
156;431 м;190 м;0:00:14;49 км/ч;98.6° истина;20.03.2026 13:54;N55.18949° E59.61279°;
157;420 м;147 м;0:00:09;59 км/ч;85.3° истина;20.03.2026 13:55;N55.18924° E59.61575°;
158;407 м;229 м;0:00:13;63 км/ч;75.5° истина;20.03.2026 13:55;N55.18935° E59.61806°;
159;398 м;127 м;0:00:09;51 км/ч;79.2° истина;20.03.2026 13:55;N55.18986° E59.62154°;
160;397 м;168 м;0:00:13;46 км/ч;90.7° истина;20.03.2026 13:55;N55.19008° E59.62351°;
161;405 м;80 м;0:00:08;36 км/ч;83.9° истина;20.03.2026 13:55;N55.19006° E59.62615°;
162;408 м;69 м;0:00:09;27 км/ч;68.8° истина;20.03.2026 13:56;N55.19013° E59.62739°;
163;411 м;48 м;0:00:13;13 км/ч;46.0° истина;20.03.2026 13:56;N55.19035° E59.62840°;
164;415 м;47 м;0:00:13;13 км/ч;43.1° истина;20.03.2026 13:56;N55.19065° E59.62894°;
165;418 м;88 м;0:00:08;40 км/ч;49.5° истина;20.03.2026 13:56;N55.19096° E59.62944°;
166;424 м;118 м;0:00:10;42 км/ч;49.6° истина;20.03.2026 13:56;N55.19147° E59.63049°;
167;436 м;40 м;0:00:05;29 км/ч;41.7° истина;20.03.2026 13:56;N55.19216° E59.63190°;
168;441 м;27 м;0:00:07;14 км/ч;116.4° истина;20.03.2026 13:57;N55.19243° E59.63232°;
169;446 м;7 м;0:00:01;24 км/ч;171.6° истина;20.03.2026 13:57;N55.19232° E59.63270°;
170;447 м;24 м;0:00:03;28 км/ч;175.7° истина;20.03.2026 13:57;N55.19226° E59.63271°;
171;448 м;140 м;0:00:14;36 км/ч;187.8° истина;20.03.2026 13:57;N55.19205° E59.63274°;
172;449 м;120 м;0:00:11;39 км/ч;202.9° истина;20.03.2026 13:57;N55.19080° E59.63245°;
173;447 м;140 м;0:00:14;36 км/ч;198.0° истина;20.03.2026 13:57;N55.18981° E59.63172°;
