Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
703,7810 m,2.4 km,0:00:12,728 km/h,179.1° true,4/14/2022 5:47,N40° 47.133' E64° 31.104'
704,7679 m,2.6 km,0:00:13,727 km/h,179.2° true,4/14/2022 5:47,N40° 45.825' E64° 31.130'
705,7540 m,2.0 km,0:00:10,724 km/h,179.1° true,4/14/2022 5:48,N40° 44.410' E64° 31.158'
706,7432 m,2.6 km,0:00:13,722 km/h,179.1° true,4/14/2022 5:48,N40° 43.326' E64° 31.179'
707,7291 m,2.2 km,0:00:11,719 km/h,179.1° true,4/14/2022 5:48,N40° 41.922' E64° 31.207'
708,7171 m,3.4 km,0:00:17,716 km/h,179.1° true,4/14/2022 5:48,N40° 40.738' E64° 31.231'
709,6986 m,3.0 km,0:00:15,712 km/h,179.1° true,4/14/2022 5:48,N40° 38.915' E64° 31.268'
710,6825 m,3.7 km,0:00:19,708 km/h,179.1° true,4/14/2022 5:49,N40° 37.317' E64° 31.302'
711,6620 m,3.3 km,0:00:17,704 km/h,179.1° true,4/14/2022 5:49,N40° 35.304' E64° 31.341'
712,6437 m,3.1 km,0:00:16,700 km/h,179.1° true,4/14/2022 5:49,N40° 33.513' E64° 31.379'
713,6262 m,2.3 km,0:00:12,697 km/h,179.2° true,4/14/2022 5:50,N40° 31.836' E64° 31.414'
714,6131 m,2.1 km,0:00:11,696 km/h,179.1° true,4/14/2022 5:50,N40° 30.583' E64° 31.437'
715,6012 m,2.3 km,0:00:12,694 km/h,179.1° true,4/14/2022 5:50,N40° 29.437' E64° 31.461'
716,5884 m,3.1 km,0:00:16,691 km/h,179.1° true,4/14/2022 5:50,N40° 28.192' E64° 31.486'
717,5710 m,2.3 km,0:00:12,689 km/h,179.3° true,4/14/2022 5:50,N40° 26.536' E64° 31.518'
718,5582 m,3.0 km,0:00:16,686 km/h,179.9° true,4/14/2022 5:51,N40° 25.299' E64° 31.538'
719,5407 m,3.0 km,0:00:16,683 km/h,180.1° true,4/14/2022 5:51,N40° 23.656' E64° 31.543'
720,5232 m,2.5 km,0:00:13,680 km/h,180.1° true,4/14/2022 5:51,N40° 22.019' E64° 31.538'
721,5092 m,2.6 km,0:00:14,678 km/h,180.2° true,4/14/2022 5:51,N40° 20.695' E64° 31.534'
722,4940 m,4.1 km,0:00:22,675 km/h,180.2° true,4/14/2022 5:52,N40° 19.274' E64° 31.528'
723,4700 m,4.1 km,0:00:22,671 km/h,180.2° true,4/14/2022 5:52,N40° 17.051' E64° 31.516'
724,4463 m,3.7 km,0:00:20,668 km/h,180.2° true,4/14/2022 5:52,N40° 14.840' E64° 31.505'
725,4244 m,4.1 km,0:00:22,665 km/h,180.1° true,4/14/2022 5:53,N40° 12.840' E64° 31.497'
726,4008 m,3.1 km,0:00:17,662 km/h,180.0° true,4/14/2022 5:53,N40° 10.651' E64° 31.492'
727,3828 m,2.0 km,0:00:11,659 km/h,180.1° true,4/14/2022 5:53,N40° 08.966' E64° 31.490'
728,3707 m,2.7 km,0:00:15,657 km/h,180.1° true,4/14/2022 5:54,N40° 07.880' E64° 31.487'
729,3546 m,2.4 km,0:00:13,654 km/h,180.1° true,4/14/2022 5:54,N40° 06.404' E64° 31.484'
730,3405 m,2.2 km,0:00:12,648 km/h,180.1° true,4/14/2022 5:54,N40° 05.131' E64° 31.482'
731,3276 m,1.2 km,0:00:07,631 km/h,180.1° true,4/14/2022 5:54,N40° 03.967' E64° 31.480'
732,3241 m,1.2 km,0:00:07,613 km/h,180.1° true,4/14/2022 5:54,N40° 03.305' E64° 31.478'
733,3211 m,1.2 km,0:00:07,594 km/h,180.0° true,4/14/2022 5:54,N40° 02.663' E64° 31.477'
734,3186 m,1.4 km,0:00:09,579 km/h,180.0° true,4/14/2022 5:55,N40° 02.040' E64° 31.476'
735,3157 m,2.1 km,0:00:13,570 km/h,180.0° true,4/14/2022 5:55,N40° 01.260' E64° 31.476'
736,3063 m,2.8 km,0:00:18,568 km/h,180.0° true,4/14/2022 5:55,N40° 00.150' E64° 31.474'
737,2918 m,1.6 km,0:00:10,565 km/h,180.0° true,4/14/2022 5:55,N39° 58.620' E64° 31.474'
738,2835 m,2.0 km,0:00:13,564 km/h,180.0° true,4/14/2022 5:55,N39° 57.773' E64° 31.473'
739,2728 m,2.2 km,0:00:14,560 km/h,180.1° true,4/14/2022 5:56,N39° 56.675' E64° 31.474'
740,2630 m,2.2 km,0:00:14,554 km/h,180.1° true,4/14/2022 5:56,N39° 55.501' E64° 31.471'
741,2540 m,2.6 km,0:00:17,547 km/h,180.0° true,4/14/2022 5:56,N39° 54.340' E64° 31.468'
742,2418 m,3.9 km,0:00:26,544 km/h,180.0° true,4/14/2022 5:56,N39° 52.946' E64° 31.469'
743,2172 m,2.6 km,0:00:17,544 km/h,180.2° true,4/14/2022 5:57,N39° 50.828' E64° 31.468'
744,2011 m,2.2 km,0:00:15,537 km/h,180.0° true,4/14/2022 5:57,N39° 49.444' E64° 31.462'
745,1884 m,1.6 km,0:00:11,528 km/h,180.0° true,4/14/2022 5:57,N39° 48.237' E64° 31.461'
746,1799 m,989 m,0:00:07,509 km/h,180.0° true,4/14/2022 5:58,N39° 47.367' E64° 31.460'
747,1768 m,956 m,0:00:07,492 km/h,180.0° true,4/14/2022 5:58,N39° 46.834' E64° 31.460'
748,1738 m,1.1 km,0:00:08,478 km/h,180.0° true,4/14/2022 5:58,N39° 46.319' E64° 31.460'
749,1710 m,1.2 km,0:00:09,465 km/h,180.0° true,4/14/2022 5:58,N39° 45.747' E64° 31.459'
750,1692 m,1.0 km,0:00:08,451 km/h,180.1° true,4/14/2022 5:58,N39° 45.120' E64° 31.460'
751,1658 m,1.5 km,0:00:12,440 km/h,180.1° true,4/14/2022 5:58,N39° 44.579' E64° 31.458'
752,1544 m,1.7 km,0:00:14,435 km/h,180.2° true,4/14/2022 5:58,N39° 43.789' E64° 31.457'
753,1404 m,1.3 km,0:00:11,431 km/h,180.2° true,4/14/2022 5:59,N39° 42.878' E64° 31.453'
754,1322 m,1.8 km,0:00:15,428 km/h,180.1° true,4/14/2022 5:59,N39° 42.168' E64° 31.450'
755,1221 m,1.4 km,0:00:12,427 km/h,180.1° true,4/14/2022 5:59,N39° 41.207' E64° 31.447'
756,1155 m,2.7 km,0:00:23,425 km/h,180.2° true,4/14/2022 5:59,N39° 40.441' E64° 31.446'
757,1035 m,474 m,0:00:04,427 km/h,185.6° true,4/14/2022 6:00,N39° 38.977' E64° 31.438'
758,1008 m,352 m,0:00:03,423 km/h,192.1° true,4/14/2022 6:00,N39° 38.723' E64° 31.406'
759,987 m,351 m,0:00:03,421 km/h,198.1° true,4/14/2022 6:00,N39° 38.537' E64° 31.354'
760,968 m,351 m,0:00:03,421 km/h,203.8° true,4/14/2022 6:00,N39° 38.357' E64° 31.278'
761,948 m,350 m,0:00:03,420 km/h,209.4° true,4/14/2022 6:00,N39° 38.184' E64° 31.179'
762,929 m,345 m,0:00:03,414 km/h,215.1° true,4/14/2022 6:00,N39° 38.020' E64° 31.059'
763,911 m,341 m,0:00:03,409 km/h,220.9° true,4/14/2022 6:00,N39° 37.867' E64° 30.920'
764,894 m,338 m,0:00:03,406 km/h,226.6° true,4/14/2022 6:00,N39° 37.729' E64° 30.764'
765,877 m,334 m,0:00:03,401 km/h,231.5° true,4/14/2022 6:00,N39° 37.604' E64° 30.592'
766,862 m,441 m,0:00:04,397 km/h,237.5° true,4/14/2022 6:00,N39° 37.491' E64° 30.409'
767,844 m,328 m,0:00:03,394 km/h,244.3° true,4/14/2022 6:00,N39° 37.363' E64° 30.148'
768,835 m,431 m,0:00:04,387 km/h,249.9° true,4/14/2022 6:00,N39° 37.287' E64° 29.942'
769,827 m,424 m,0:00:04,382 km/h,256.3° true,4/14/2022 6:00,N39° 37.207' E64° 29.659'
770,813 m,314 m,0:00:03,376 km/h,262.8° true,4/14/2022 6:00,N39° 37.153' E64° 29.370'
