Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
52;226 м;319 м;0:00:16;72 км/ч;119.8° истина;22.03.2026 13:32;N56.76756° E60.73777°;
53;221 м;398 м;0:00:20;72 км/ч;119.4° истина;22.03.2026 13:32;N56.76613° E60.74231°;
54;219 м;336 м;0:00:17;71 км/ч;113.0° истина;22.03.2026 13:33;N56.76437° E60.74800°;
55;224 м;357 м;0:00:18;71 км/ч;105.7° истина;22.03.2026 13:33;N56.76320° E60.75307°;
56;227 м;250 м;0:00:13;69 км/ч;106.3° истина;22.03.2026 13:33;N56.76233° E60.75871°;
57;225 м;131 м;0:00:07;67 км/ч;140.6° истина;22.03.2026 13:33;N56.76170° E60.76264°;
58;223 м;19 м;0:00:01;69 км/ч;160.5° истина;22.03.2026 13:34;N56.76079° E60.76400°;
59;222 м;224 м;0:00:12;67 км/ч;169.2° истина;22.03.2026 13:34;N56.76063° E60.76411°;
60;216 м;18 м;0:00:01;65 км/ч;188.5° истина;22.03.2026 13:34;N56.75865° E60.76480°;
61;216 м;117 м;0:00:06;70 км/ч;206.5° истина;22.03.2026 13:34;N56.75849° E60.76475°;
62;214 м;318 м;0:00:17;67 км/ч;221.2° истина;22.03.2026 13:34;N56.75755° E60.76390°;
63;219 м;320 м;0:00:17;68 км/ч;222.1° истина;22.03.2026 13:34;N56.75540° E60.76047°;
64;219 м;336 м;0:00:18;67 км/ч;222.5° истина;22.03.2026 13:34;N56.75327° E60.75696°;
65;222 м;374 м;0:00:20;67 км/ч;222.6° истина;22.03.2026 13:35;N56.75105° E60.75324°;
66;217 м;370 м;0:00:20;67 км/ч;222.5° истина;22.03.2026 13:35;N56.74857° E60.74909°;
67;220 м;295 м;0:00:16;66 км/ч;222.7° истина;22.03.2026 13:35;N56.74612° E60.74500°;
68;220 м;316 м;0:00:17;67 км/ч;222.1° истина;22.03.2026 13:36;N56.74417° E60.74172°;
69;221 м;355 м;0:00:19;67 км/ч;222.4° истина;22.03.2026 13:36;N56.74206° E60.73825°;
70;220 м;260 м;0:00:14;67 км/ч;222.4° истина;22.03.2026 13:36;N56.73970° E60.73433°;
71;218 м;297 м;0:00:16;67 км/ч;222.3° истина;22.03.2026 13:37;N56.73798° E60.73145°;
72;216 м;314 м;0:00:17;67 км/ч;223.3° истина;22.03.2026 13:37;N56.73601° E60.72818°;
73;217 м;202 м;0:00:11;66 км/ч;232.7° истина;22.03.2026 13:37;N56.73395° E60.72465°;
74;219 м;202 м;0:00:11;66 км/ч;246.3° истина;22.03.2026 13:37;N56.73285° E60.72202°;
75;223 м;260 м;0:00:14;67 км/ч;256.0° истина;22.03.2026 13:37;N56.73212° E60.71898°;
76;229 м;241 м;0:00:13;67 км/ч;247.5° истина;22.03.2026 13:38;N56.73156° E60.71486°;
77;234 м;162 м;0:00:10;58 км/ч;236.9° истина;22.03.2026 13:38;N56.73073° E60.71122°;
78;236 м;81 м;0:00:06;48 км/ч;230.3° истина;22.03.2026 13:38;N56.72993° E60.70900°;
79;236 м;68 м;0:00:06;41 км/ч;262.9° истина;22.03.2026 13:38;N56.72947° E60.70798°;
80;236 м;65 м;0:00:06;39 км/ч;325.3° истина;22.03.2026 13:38;N56.72940° E60.70688°;
81;236 м;46 м;0:00:04;42 км/ч;10.9° истина;22.03.2026 13:38;N56.72988° E60.70627°;
82;236 м;58 м;0:00:05;42 км/ч;25.4° истина;22.03.2026 13:38;N56.73029° E60.70641°;
83;233 м;79 м;0:00:07;41 км/ч;61.5° истина;22.03.2026 13:39;N56.73076° E60.70682°;
84;230 м;62 м;0:00:06;37 км/ч;115.6° истина;22.03.2026 13:39;N56.73110° E60.70796°;
85;228 м;20 м;0:00:02;37 км/ч;145.4° истина;22.03.2026 13:39;N56.73086° E60.70887°;
