Index;Elevation;Leg distance;Leg time;Leg speed;Leg course;Time;Position;Car
151;242 м;172 м;0:00:11;56 км/ч;126.6° истина;01.11.2025 15:06;N56.79746° E60.64741°;
152;242 м;156 м;0:00:08;70 км/ч;126.1° истина;01.11.2025 15:06;N56.79653° E60.64968°;
153;240 м;202 м;0:00:10;73 км/ч;123.7° истина;01.11.2025 15:06;N56.79571° E60.65174°;
154;235 м;219 м;0:00:11;72 км/ч;119.2° истина;01.11.2025 15:06;N56.79470° E60.65450°;
155;232 м;259 м;0:00:13;72 км/ч;117.1° истина;01.11.2025 15:07;N56.79374° E60.65764°;
156;234 м;260 м;0:00:13;72 км/ч;116.9° истина;01.11.2025 15:07;N56.79268° E60.66143°;
157;234 м;257 м;0:00:13;71 км/ч;116.8° истина;01.11.2025 15:07;N56.79162° E60.66523°;
158;233 м;218 м;0:00:11;71 км/ч;116.9° истина;01.11.2025 15:07;N56.79058° E60.66899°;
159;234 м;220 м;0:00:11;72 км/ч;117.0° истина;01.11.2025 15:07;N56.78969° E60.67219°;
160;237 м;299 м;0:00:15;72 км/ч;117.0° истина;01.11.2025 15:08;N56.78880° E60.67540°;
161;244 м;260 м;0:00:13;72 км/ч;116.9° истина;01.11.2025 15:08;N56.78758° E60.67976°;
162;246 м;247 м;0:00:12;74 км/ч;116.6° истина;01.11.2025 15:08;N56.78652° E60.68357°;
163;247 м;318 м;0:00:15;76 км/ч;116.9° истина;01.11.2025 15:08;N56.78553° E60.68719°;
164;251 м;277 м;0:00:13;77 км/ч;117.3° истина;01.11.2025 15:08;N56.78423° E60.69185°;
165;250 м;297 м;0:00:14;76 км/ч;116.9° истина;01.11.2025 15:09;N56.78310° E60.69588°;
166;243 м;277 м;0:00:13;77 км/ч;118.7° истина;01.11.2025 15:09;N56.78189° E60.70023°;
167;241 м;235 м;0:00:11;77 км/ч;125.8° истина;01.11.2025 15:09;N56.78069° E60.70421°;
168;242 м;234 м;0:00:11;76 км/ч;132.1° истина;01.11.2025 15:09;N56.77945° E60.70734°;
169;239 м;297 м;0:00:14;76 км/ч;136.1° истина;01.11.2025 15:10;N56.77805° E60.71018°;
170;240 м;233 м;0:00:11;76 км/ч;131.4° истина;01.11.2025 15:10;N56.77613° E60.71356°;
171;244 м;277 м;0:00:13;77 км/ч;125.4° истина;01.11.2025 15:10;N56.77474° E60.71642°;
172;243 м;299 м;0:00:14;77 км/ч;119.4° истина;01.11.2025 15:10;N56.77330° E60.72012°;
173;240 м;277 м;0:00:13;77 км/ч;119.2° истина;01.11.2025 15:10;N56.77198° E60.72440°;
174;233 м;256 м;0:00:12;77 км/ч;120.9° истина;01.11.2025 15:11;N56.77076° E60.72837°;
175;230 м;296 м;0:00:14;76 км/ч;122.6° истина;01.11.2025 15:11;N56.76958° E60.73197°;
176;225 м;233 м;0:00:11;76 км/ч;120.6° истина;01.11.2025 15:11;N56.76815° E60.73606°;
177;224 м;297 м;0:00:14;76 км/ч;120.1° истина;01.11.2025 15:11;N56.76708° E60.73935°;
178;224 м;298 м;0:00:14;77 км/ч;118.8° истина;01.11.2025 15:11;N56.76575° E60.74357°;
179;224 м;255 м;0:00:12;77 км/ч;113.7° истина;01.11.2025 15:12;N56.76445° E60.74784°;
180;221 м;276 м;0:00:13;76 км/ч;108.8° истина;01.11.2025 15:12;N56.76353° E60.75168°;
181;221 м;234 м;0:00:11;77 км/ч;103.8° истина;01.11.2025 15:12;N56.76274° E60.75595°;
182;223 м;275 м;0:00:13;76 км/ч;99.2° истина;01.11.2025 15:12;N56.76223° E60.75968°;
183;220 м;176 м;0:00:09;71 км/ч;98.0° истина;01.11.2025 15:13;N56.76184° E60.76413°;
184;224 м;63 м;0:00:05;45 км/ч;98.6° истина;01.11.2025 15:13;N56.76162° E60.76699°;
185;227 м;106 м;0:00:11;35 км/ч;98.9° истина;01.11.2025 15:13;N56.76153° E60.76801°;
186;228 м;110 м;0:00:10;40 км/ч;98.6° истина;01.11.2025 15:13;N56.76139° E60.76973°;
187;232 м;99 м;0:00:09;39 км/ч;97.6° истина;01.11.2025 15:13;N56.76124° E60.77152°;
188;234 м;10 м;0:00:01;37 км/ч;108.7° истина;01.11.2025 15:13;N56.76112° E60.77313°;
189;234 м;10 м;0:00:01;36 км/ч;117.2° истина;01.11.2025 15:13;N56.76109° E60.77329°;
190;233 м;10 м;0:00:01;36 км/ч;125.0° истина;01.11.2025 15:13;N56.76105° E60.77343°;
191;233 м;10 м;0:00:01;37 км/ч;134.5° истина;01.11.2025 15:13;N56.76100° E60.77357°;
192;233 м;10 м;0:00:01;38 км/ч;142.1° истина;01.11.2025 15:13;N56.76093° E60.77368°;
193;233 м;10 м;0:00:01;37 км/ч;147.4° истина;01.11.2025 15:13;N56.76086° E60.77379°;
194;233 м;10 м;0:00:01;37 км/ч;158.3° истина;01.11.2025 15:13;N56.76078° E60.77388°;
195;231 м;10 м;0:00:01;36 км/ч;170.4° истина;01.11.2025 15:13;N56.76069° E60.77394°;
196;230 м;10 м;0:00:01;37 км/ч;182.7° истина;01.11.2025 15:13;N56.76061° E60.77397°;
197;229 м;10 м;0:00:01;38 км/ч;191.9° истина;01.11.2025 15:13;N56.76051° E60.77396°;
198;229 м;11 м;0:00:01;40 км/ч;206.0° истина;01.11.2025 15:13;N56.76042° E60.77393°;
199;228 м;12 м;0:00:01;41 км/ч;222.3° истина;01.11.2025 15:13;N56.76033° E60.77385°;
200;227 м;11 м;0:00:01;41 км/ч;228.3° истина;01.11.2025 15:13;N56.76025° E60.77372°;
201;226 м;12 м;0:00:01;42 км/ч;232.6° истина;01.11.2025 15:13;N56.76019° E60.77358°;
202;226 м;12 м;0:00:01;43 км/ч;238.9° истина;01.11.2025 15:13;N56.76012° E60.77343°;
203;225 м;11 м;0:00:01;40 км/ч;249.7° истина;01.11.2025 15:13;N56.76007° E60.77326°;
204;225 м;11 м;0:00:01;41 км/ч;257.7° истина;01.11.2025 15:14;N56.76003° E60.77309°;
205;224 м;11 м;0:00:01;40 км/ч;256.3° истина;01.11.2025 15:14;N56.76001° E60.77291°;
206;224 м;157 м;0:00:14;40 км/ч;254.1° истина;01.11.2025 15:14;N56.75999° E60.77273°;
207;222 м;41 м;0:00:04;37 км/ч;258.4° истина;01.11.2025 15:14;N56.75960° E60.77025°;
208;222 м;10 м;0:00:01;36 км/ч;270.5° истина;01.11.2025 15:14;N56.75953° E60.76959°;
209;222 м;10 м;0:00:01;36 км/ч;276.8° истина;01.11.2025 15:14;N56.75953° E60.76943°;
210;222 м;10 м;0:00:01;36 км/ч;286.1° истина;01.11.2025 15:14;N56.75954° E60.76926°;
211;221 м;10 м;0:00:01;37 км/ч;293.6° истина;01.11.2025 15:14;N56.75956° E60.76910°;
212;221 м;10 м;0:00:01;36 км/ч;303.4° истина;01.11.2025 15:14;N56.75960° E60.76895°;
213;221 м;10 м;0:00:01;36 км/ч;309.1° истина;01.11.2025 15:14;N56.75965° E60.76881°;
214;221 м;10 м;0:00:01;37 км/ч;320.4° истина;01.11.2025 15:14;N56.75971° E60.76868°;
215;220 м;10 м;0:00:01;37 км/ч;323.8° истина;01.11.2025 15:14;N56.75978° E60.76858°;
216;219 м;10 м;0:00:01;37 км/ч;336.3° истина;01.11.2025 15:14;N56.75985° E60.76848°;
217;219 м;10 м;0:00:01;37 км/ч;349.6° истина;01.11.2025 15:14;N56.75994° E60.76841°;
218;219 м;12 м;0:00:01;41 км/ч;9.1° истина;01.11.2025 15:14;N56.76003° E60.76838°;
219;218 м;11 м;0:00:01;41 км/ч;13.0° истина;01.11.2025 15:14;N56.76013° E60.76841°;
220;218 м;12 м;0:00:01;44 км/ч;18.1° истина;01.11.2025 15:14;N56.76023° E60.76845°;
221;218 м;12 м;0:00:01;43 км/ч;27.4° истина;01.11.2025 15:14;N56.76033° E60.76851°;
222;218 м;12 м;0:00:01;44 км/ч;32.6° истина;01.11.2025 15:14;N56.76043° E60.76860°;
223;218 м;13 м;0:00:01;46 км/ч;31.5° истина;01.11.2025 15:14;N56.76052° E60.76871°;
224;217 м;108 м;0:00:08;49 км/ч;37.8° истина;01.11.2025 15:14;N56.76062° E60.76882°;
225;213 м;132 м;0:00:09;53 км/ч;41.0° истина;01.11.2025 15:14;N56.76139° E60.76991°;
226;210 м;185 м;0:00:10;67 км/ч;40.2° истина;01.11.2025 15:14;N56.76228° E60.77133°;
