Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
165,8 m,284 m,0:00:15,68 km/h,141.1° true,6/16/2023 12:31,N36° 25.703' E32° 09.312'
166,8 m,302 m,0:00:16,68 km/h,141.7° true,6/16/2023 12:31,N36° 25.584' E32° 09.431'
167,7 m,245 m,0:00:13,68 km/h,141.2° true,6/16/2023 12:31,N36° 25.456' E32° 09.557'
168,8 m,547 m,0:00:29,68 km/h,141.3° true,6/16/2023 12:32,N36° 25.353' E32° 09.660'
169,10 m,527 m,0:00:28,68 km/h,141.4° true,6/16/2023 12:32,N36° 25.123' E32° 09.889'
170,10 m,211 m,0:00:12,63 km/h,141.6° true,6/16/2023 12:33,N36° 24.901' E32° 10.109'
171,10 m,81 m,0:00:06,49 km/h,149.3° true,6/16/2023 12:33,N36° 24.812' E32° 10.196'
172,9 m,71 m,0:00:07,37 km/h,158.0° true,6/16/2023 12:33,N36° 24.774' E32° 10.224'
173,7 m,7 m,0:00:01,25 km/h,143.2° true,6/16/2023 12:33,N36° 24.739' E32° 10.242'
174,7 m,7 m,0:00:01,24 km/h,129.5° true,6/16/2023 12:33,N36° 24.736' E32° 10.245'
175,7 m,6 m,0:00:01,23 km/h,115.8° true,6/16/2023 12:33,N36° 24.733' E32° 10.249'
176,7 m,5 m,0:00:01,18 km/h,104.2° true,6/16/2023 12:33,N36° 24.732' E32° 10.252'
177,7 m,4 m,0:00:01,13 km/h,90.3° true,6/16/2023 12:33,N36° 24.731' E32° 10.256'
178,6 m,9 m,0:00:03,11 km/h,64.1° true,6/16/2023 12:33,N36° 24.731' E32° 10.258'
179,7 m,49 m,0:00:09,20 km/h,47.4° true,6/16/2023 12:33,N36° 24.733' E32° 10.264'
180,7 m,78 m,0:00:08,35 km/h,35.0° true,6/16/2023 12:33,N36° 24.751' E32° 10.288'
181,3 m,108 m,0:00:09,43 km/h,25.8° true,6/16/2023 12:33,N36° 24.786' E32° 10.317'
182,3 m,94 m,0:00:07,48 km/h,13.9° true,6/16/2023 12:34,N36° 24.838' E32° 10.349'
183,3 m,193 m,0:00:13,53 km/h,11.0° true,6/16/2023 12:34,N36° 24.887' E32° 10.364'
184,6 m,73 m,0:00:05,53 km/h,16.8° true,6/16/2023 12:34,N36° 24.989' E32° 10.389'
185,5 m,15 m,0:00:01,52 km/h,31.1° true,6/16/2023 12:34,N36° 25.027' E32° 10.403'
186,5 m,14 m,0:00:01,52 km/h,39.5° true,6/16/2023 12:34,N36° 25.034' E32° 10.408'
187,5 m,14 m,0:00:01,51 km/h,47.0° true,6/16/2023 12:34,N36° 25.040' E32° 10.414'
188,5 m,15 m,0:00:01,52 km/h,54.6° true,6/16/2023 12:34,N36° 25.045' E32° 10.421'
189,5 m,15 m,0:00:01,53 km/h,56.7° true,6/16/2023 12:34,N36° 25.049' E32° 10.429'
190,5 m,163 m,0:00:11,53 km/h,56.8° true,6/16/2023 12:34,N36° 25.054' E32° 10.437'
191,5 m,117 m,0:00:08,53 km/h,50.9° true,6/16/2023 12:34,N36° 25.102' E32° 10.528'
192,3 m,176 m,0:00:12,53 km/h,49.0° true,6/16/2023 12:34,N36° 25.141' E32° 10.589'
193,5 m,209 m,0:00:14,54 km/h,47.8° true,6/16/2023 12:35,N36° 25.204' E32° 10.678'
194,7 m,158 m,0:00:10,57 km/h,48.3° true,6/16/2023 12:35,N36° 25.279' E32° 10.782'
195,8 m,222 m,0:00:14,57 km/h,48.9° true,6/16/2023 12:35,N36° 25.336' E32° 10.860'
196,12 m,173 m,0:00:11,57 km/h,49.0° true,6/16/2023 12:35,N36° 25.414' E32° 10.972'
197,12 m,124 m,0:00:08,56 km/h,56.5° true,6/16/2023 12:35,N36° 25.476' E32° 11.060'
198,11 m,172 m,0:00:11,56 km/h,63.3° true,6/16/2023 12:35,N36° 25.513' E32° 11.129'
199,12 m,50 m,0:00:05,36 km/h,58.1° true,6/16/2023 12:36,N36° 25.554' E32° 11.232'
200,12 m,6 m,0:00:01,22 km/h,39.1° true,6/16/2023 12:36,N36° 25.568' E32° 11.260'
201,12 m,6 m,0:00:01,21 km/h,21.2° true,6/16/2023 12:36,N36° 25.571' E32° 11.263'
202,13 m,6 m,0:00:01,22 km/h,2.4° true,6/16/2023 12:36,N36° 25.574' E32° 11.264'
203,13 m,7 m,0:00:01,25 km/h,357.5° true,6/16/2023 12:36,N36° 25.577' E32° 11.265'
204,13 m,16 m,0:00:02,29 km/h,5.6° true,6/16/2023 12:36,N36° 25.581' E32° 11.264'
205,12 m,9 m,0:00:01,32 km/h,18.2° true,6/16/2023 12:36,N36° 25.589' E32° 11.265'
206,12 m,9 m,0:00:01,34 km/h,25.6° true,6/16/2023 12:36,N36° 25.594' E32° 11.267'
207,12 m,10 m,0:00:01,35 km/h,31.9° true,6/16/2023 12:36,N36° 25.598' E32° 11.270'
208,12 m,10 m,0:00:01,36 km/h,35.5° true,6/16/2023 12:36,N36° 25.603' E32° 11.273'
209,12 m,107 m,0:00:10,39 km/h,40.2° true,6/16/2023 12:36,N36° 25.607' E32° 11.277'
210,12 m,93 m,0:00:07,48 km/h,56.2° true,6/16/2023 12:36,N36° 25.651' E32° 11.324'
211,10 m,149 m,0:00:10,54 km/h,61.0° true,6/16/2023 12:36,N36° 25.679' E32° 11.375'
212,11 m,109 m,0:00:07,56 km/h,46.4° true,6/16/2023 12:36,N36° 25.718' E32° 11.463'
213,14 m,94 m,0:00:06,57 km/h,24.2° true,6/16/2023 12:36,N36° 25.759' E32° 11.515'
214,16 m,126 m,0:00:08,57 km/h,19.4° true,6/16/2023 12:37,N36° 25.805' E32° 11.541'
215,18 m,16 m,0:00:01,57 km/h,33.5° true,6/16/2023 12:37,N36° 25.869' E32° 11.569'
216,18 m,16 m,0:00:01,57 km/h,39.9° true,6/16/2023 12:37,N36° 25.876' E32° 11.575'
217,18 m,16 m,0:00:01,56 km/h,46.2° true,6/16/2023 12:37,N36° 25.883' E32° 11.582'
218,19 m,16 m,0:00:01,56 km/h,55.1° true,6/16/2023 12:37,N36° 25.888' E32° 11.590'
219,19 m,15 m,0:00:01,56 km/h,64.9° true,6/16/2023 12:37,N36° 25.893' E32° 11.598'
220,19 m,15 m,0:00:01,55 km/h,73.8° true,6/16/2023 12:37,N36° 25.897' E32° 11.608'
221,19 m,16 m,0:00:01,56 km/h,82.1° true,6/16/2023 12:37,N36° 25.899' E32° 11.617'
222,20 m,16 m,0:00:01,57 km/h,88.3° true,6/16/2023 12:37,N36° 25.900' E32° 11.628'
223,20 m,16 m,0:00:01,58 km/h,93.0° true,6/16/2023 12:37,N36° 25.900' E32° 11.638'
224,20 m,16 m,0:00:01,58 km/h,93.4° true,6/16/2023 12:37,N36° 25.900' E32° 11.649'
225,20 m,113 m,0:00:08,51 km/h,93.9° true,6/16/2023 12:37,N36° 25.900' E32° 11.660'
226,19 m,40 m,0:00:04,36 km/h,98.0° true,6/16/2023 12:37,N36° 25.895' E32° 11.735'
227,19 m,9 m,0:00:01,31 km/h,81.4° true,6/16/2023 12:37,N36° 25.892' E32° 11.762'
228,19 m,9 m,0:00:01,33 km/h,71.2° true,6/16/2023 12:37,N36° 25.893' E32° 11.767'
229,19 m,9 m,0:00:01,34 km/h,64.1° true,6/16/2023 12:37,N36° 25.895' E32° 11.773'
230,20 m,10 m,0:00:01,36 km/h,63.9° true,6/16/2023 12:37,N36° 25.897' E32° 11.779'
231,20 m,103 m,0:00:09,41 km/h,65.9° true,6/16/2023 12:37,N36° 25.899' E32° 11.785'
232,22 m,95 m,0:00:07,49 km/h,52.1° true,6/16/2023 12:37,N36° 25.922' E32° 11.848'
233,23 m,104 m,0:00:08,47 km/h,38.6° true,6/16/2023 12:37,N36° 25.953' E32° 11.898'
234,22 m,37 m,0:00:03,44 km/h,44.5° true,6/16/2023 12:38,N36° 25.997' E32° 11.941'
235,20 m,13 m,0:00:01,46 km/h,57.4° true,6/16/2023 12:38,N36° 26.011' E32° 11.959'
236,19 m,13 m,0:00:01,48 km/h,63.3° true,6/16/2023 12:38,N36° 26.015' E32° 11.966'
237,19 m,13 m,0:00:01,48 km/h,67.5° true,6/16/2023 12:38,N36° 26.018' E32° 11.974'
238,19 m,13 m,0:00:01,48 km/h,68.9° true,6/16/2023 12:38,N36° 26.021' E32° 11.982'
239,19 m,103 m,0:00:08,46 km/h,68.5° true,6/16/2023 12:38,N36° 26.024' E32° 11.990'
240,22 m,13 m,0:00:01,46 km/h,83.6° true,6/16/2023 12:38,N36° 26.044' E32° 12.055'
241,22 m,13 m,0:00:01,45 km/h,93.9° true,6/16/2023 12:38,N36° 26.045' E32° 12.063'
242,23 m,12 m,0:00:01,44 km/h,100.8° true,6/16/2023 12:38,N36° 26.044' E32° 12.072'
243,23 m,13 m,0:00:01,47 km/h,109.4° true,6/16/2023 12:38,N36° 26.043' E32° 12.080'
244,23 m,14 m,0:00:01,49 km/h,114.3° true,6/16/2023 12:38,N36° 26.041' E32° 12.088'
245,23 m,13 m,0:00:01,47 km/h,116.4° true,6/16/2023 12:38,N36° 26.038' E32° 12.096'
246,24 m,37 m,0:00:03,45 km/h,113.1° true,6/16/2023 12:38,N36° 26.035' E32° 12.104'
247,24 m,11 m,0:00:01,40 km/h,95.1° true,6/16/2023 12:38,N36° 26.027' E32° 12.127'
248,24 m,11 m,0:00:01,41 km/h,84.6° true,6/16/2023 12:38,N36° 26.026' E32° 12.134'
249,25 m,11 m,0:00:01,40 km/h,72.8° true,6/16/2023 12:38,N36° 26.027' E32° 12.142'
