Index,Elevation,Leg distance,Leg time,Leg speed,Leg course,Time,Position
4141,1038 m,413 m,0:00:03,496 km/h,74.4° true,1/10/2023 0:45,N23° 06.007' W81° 19.752'
4142,1053 m,419 m,0:00:03,503 km/h,80.5° true,1/10/2023 0:45,N23° 06.067' W81° 19.519'
4143,1084 m,427 m,0:00:03,512 km/h,85.2° true,1/10/2023 0:45,N23° 06.104' W81° 19.277'
4144,1120 m,554 m,0:00:04,499 km/h,90.0° true,1/10/2023 0:45,N23° 06.123' W81° 19.028'
4145,1157 m,414 m,0:00:03,497 km/h,98.7° true,1/10/2023 0:45,N23° 06.123' W81° 18.703'
4146,1173 m,422 m,0:00:03,506 km/h,105.7° true,1/10/2023 0:45,N23° 06.090' W81° 18.463'
4147,1204 m,446 m,0:00:03,535 km/h,115.0° true,1/10/2023 0:46,N23° 06.028' W81° 18.225'
4148,1239 m,321 m,0:00:02,578 km/h,124.6° true,1/10/2023 0:46,N23° 05.927' W81° 17.988'
4149,1271 m,436 m,0:00:03,523 km/h,122.0° true,1/10/2023 0:46,N23° 05.829' W81° 17.833'
4150,1293 m,436 m,0:00:03,524 km/h,126.3° true,1/10/2023 0:46,N23° 05.704' W81° 17.617'
4151,1327 m,569 m,0:00:04,512 km/h,128.7° true,1/10/2023 0:46,N23° 05.565' W81° 17.411'
4152,1375 m,720 m,0:00:05,519 km/h,135.8° true,1/10/2023 0:46,N23° 05.373' W81° 17.150'
4153,1459 m,717 m,0:00:05,516 km/h,134.1° true,1/10/2023 0:46,N23° 05.095' W81° 16.856'
4154,1551 m,570 m,0:00:04,513 km/h,129.1° true,1/10/2023 0:46,N23° 04.826' W81° 16.555'
4155,1621 m,836 m,0:00:06,502 km/h,127.1° true,1/10/2023 0:46,N23° 04.632' W81° 16.295'
4156,1709 m,698 m,0:00:05,502 km/h,124.0° true,1/10/2023 0:46,N23° 04.360' W81° 15.905'
4157,1759 m,3.7 km,0:00:24,553 km/h,95.5° true,1/10/2023 0:46,N23° 04.150' W81° 15.566'
4158,2115 m,1.3 km,0:00:09,531 km/h,102.4° true,1/10/2023 0:47,N23° 03.960' W81° 13.417'
4159,2218 m,1.5 km,0:00:10,539 km/h,103.7° true,1/10/2023 0:47,N23° 03.806' W81° 12.657'
4160,2352 m,1.8 km,0:00:12,539 km/h,103.2° true,1/10/2023 0:47,N23° 03.615' W81° 11.806'
4161,2499 m,8.6 km,0:00:56,554 km/h,104.0° true,1/10/2023 0:47,N23° 03.394' W81° 10.782'
4162,3037 m,1.9 km,0:00:12,573 km/h,103.4° true,1/10/2023 0:48,N23° 02.272' W81° 05.887'
4163,3171 m,1.6 km,0:00:10,573 km/h,103.3° true,1/10/2023 0:48,N23° 02.034' W81° 04.799'
4164,3271 m,981 m,0:00:06,589 km/h,104.7° true,1/10/2023 0:48,N23° 01.837' W81° 03.893'
4165,3303 m,332 m,0:00:02,598 km/h,103.4° true,1/10/2023 0:49,N23° 01.703' W81° 03.337'
4166,3319 m,26.4 km,0:02:15,703 km/h,100.6° true,1/10/2023 0:49,N23° 01.661' W81° 03.148'
4167,4574 m,2.3 km,0:00:11,761 km/h,100.2° true,1/10/2023 0:51,N22° 59.035' W80° 47.976'
4168,4667 m,1.9 km,0:00:09,763 km/h,99.8° true,1/10/2023 0:51,N22° 58.813' W80° 46.637'
4169,4773 m,1.9 km,0:00:09,769 km/h,99.4° true,1/10/2023 0:51,N22° 58.637' W80° 45.537'
4170,4882 m,1.9 km,0:00:09,767 km/h,98.8° true,1/10/2023 0:51,N22° 58.468' W80° 44.427'
4171,5001 m,1.5 km,0:00:07,766 km/h,97.5° true,1/10/2023 0:51,N22° 58.311' W80° 43.317'
4172,5151 m,2.2 km,0:00:10,778 km/h,98.7° true,1/10/2023 0:52,N22° 58.206' W80° 42.453'
4173,5304 m,1.7 km,0:00:08,785 km/h,98.4° true,1/10/2023 0:52,N22° 58.029' W80° 41.203'
4174,5417 m,2.2 km,0:00:10,792 km/h,98.8° true,1/10/2023 0:52,N22° 57.891' W80° 40.194'
4175,5566 m,2.2 km,0:00:10,797 km/h,99.0° true,1/10/2023 0:52,N22° 57.709' W80° 38.921'
4176,5711 m,2.2 km,0:00:10,805 km/h,99.2° true,1/10/2023 0:52,N22° 57.523' W80° 37.642'
4177,5842 m,2.5 km,0:00:11,813 km/h,99.5° true,1/10/2023 0:52,N22° 57.330' W80° 36.350'
4178,5973 m,2.3 km,0:00:10,821 km/h,99.8° true,1/10/2023 0:53,N22° 57.108' W80° 34.916'
4179,6079 m,2.3 km,0:00:10,827 km/h,100.0° true,1/10/2023 0:53,N22° 56.899' W80° 33.601'
4180,6175 m,2.6 km,0:00:11,836 km/h,100.5° true,1/10/2023 0:53,N22° 56.683' W80° 32.277'
4181,6249 m,1.9 km,0:00:08,848 km/h,101.8° true,1/10/2023 0:53,N22° 56.432' W80° 30.808'
4182,6210 m,1.9 km,0:00:08,844 km/h,100.8° true,1/10/2023 0:53,N22° 56.224' W80° 29.728'
4183,6243 m,1.9 km,0:00:08,852 km/h,101.3° true,1/10/2023 0:53,N22° 56.034' W80° 28.649'
4184,6230 m,2.4 km,0:00:10,852 km/h,100.5° true,1/10/2023 0:53,N22° 55.833' W80° 27.562'
4185,6285 m,2.1 km,0:00:09,850 km/h,100.0° true,1/10/2023 0:54,N22° 55.601' W80° 26.201'
4186,6358 m,1.9 km,0:00:08,862 km/h,100.9° true,1/10/2023 0:54,N22° 55.401' W80° 24.977'
4187,6405 m,1.7 km,0:00:07,865 km/h,101.3° true,1/10/2023 0:54,N22° 55.205' W80° 23.875'
4188,6409 m,1.9 km,0:00:08,863 km/h,99.6° true,1/10/2023 0:54,N22° 55.028' W80° 22.910'
4189,6451 m,1.9 km,0:00:08,874 km/h,99.0° true,1/10/2023 0:54,N22° 54.855' W80° 21.803'
4190,6518 m,2.2 km,0:00:09,874 km/h,98.1° true,1/10/2023 0:54,N22° 54.691' W80° 20.681'
4191,6638 m,2.2 km,0:00:09,881 km/h,98.1° true,1/10/2023 0:54,N22° 54.525' W80° 19.416'
4192,6782 m,2.0 km,0:00:08,893 km/h,98.7° true,1/10/2023 0:55,N22° 54.357' W80° 18.140'
4193,6894 m,2.7 km,0:00:11,900 km/h,99.0° true,1/10/2023 0:55,N22° 54.196' W80° 16.992'
4194,7028 m,2.3 km,0:00:09,907 km/h,99.9° true,1/10/2023 0:55,N22° 53.965' W80° 15.403'
4195,7116 m,2.0 km,0:00:08,916 km/h,100.8° true,1/10/2023 0:55,N22° 53.755' W80° 14.096'
4196,7149 m,2.6 km,0:00:10,922 km/h,101.0° true,1/10/2023 0:55,N22° 53.551' W80° 12.926'
4197,7164 m,2.6 km,0:00:10,926 km/h,100.8° true,1/10/2023 0:55,N22° 53.288' W80° 11.455'
4198,7178 m,3.4 km,0:00:13,932 km/h,100.6° true,1/10/2023 0:56,N22° 53.027' W80° 09.977'
4199,7207 m,2.1 km,0:00:08,938 km/h,100.2° true,1/10/2023 0:56,N22° 52.693' W80° 08.042'
4200,7245 m,2.4 km,0:00:09,942 km/h,100.1° true,1/10/2023 0:56,N22° 52.493' W80° 06.843'
4201,7295 m,3.1 km,0:00:12,944 km/h,99.9° true,1/10/2023 0:56,N22° 52.270' W80° 05.487'
4202,7387 m,3.2 km,0:00:12,950 km/h,99.3° true,1/10/2023 0:56,N22° 51.979' W80° 03.673'
4203,7532 m,2.6 km,0:00:10,953 km/h,98.7° true,1/10/2023 0:56,N22° 51.703' W80° 01.845'
4204,7701 m,2.4 km,0:00:09,952 km/h,99.1° true,1/10/2023 0:57,N22° 51.486' W80° 00.316'
4205,7836 m,2.1 km,0:00:08,953 km/h,99.5° true,1/10/2023 0:57,N22° 51.282' W79° 58.942'
